,YEAR,INST_ID,INST_NAME,INST_STATE,TOC_CODE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND,NASF_NR,RR_NR,NASF_CLIN_TRIAL
82,2007,1090,Spelman College,GA,2,3084,600.0,16024,5036.0,1134.0,0.0,6434.0,6863.0,39941.0,800,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
83,2007,1091,University of Georgia,GA,1,323843,1953470.0,489001,2044.0,120720.0,399915.0,981.0,114229.0,105049.0,40176,16366.0,216156.0,0,0,0,0,0,0,0,1685000,0,0,0,0,0,0,1685000,0,1685000,1490000,400000,400000,2290000,,,
84,2007,1092,State University of West Georgia,GA,1,1042,0.0,0,4505.0,0.0,1200.0,0.0,0.0,0.0,1200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
85,2007,1093,University of Hawaii at Manoa,HI,1,249635,156034.0,95228,18374.0,65215.0,223656.0,4050.0,277978.0,202709.0,13931,55444.0,0.0,194585,4950000,7762000,0,3855000,0,0,1962000,405000,250000,0,0,0,0,19184000,0,19184000,0,11000000,0,11000000,,,
86,2007,1094,Boise State University,ID,1,7848,0.0,20985,404.0,18563.0,0.0,2798.0,3266.0,11428.0,4022,2352.0,0.0,0,0,307357,0,419315,0,0,0,0,0,0,0,0,0,0,726672,726672,0,0,0,0,,,
87,2007,1095,Idaho State University,ID,1,16754,0.0,47400,0.0,22130.0,36421.0,3000.0,17028.0,40553.0,2628,6506.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
88,2007,1096,University of Idaho,ID,1,86863,607145.0,91957,15217.0,140052.0,4635.0,14555.0,43271.0,63545.0,9256,23222.0,23517.0,0,583000,0,0,405852,0,0,0,742945,0,0,0,0,0,742945,988852,1731797,1690425,650000,1100000,3440425,,,
89,2007,1097,Bradley University,IL,2,1905,0.0,22566,5480.0,12930.0,1720.0,0.0,0.0,12722.0,2959,297.0,887.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
90,2007,1098,Midwestern University,IL,2,2786,0.0,66500,0.0,0.0,33500.0,0.0,0.0,0.0,0,0.0,0.0,66500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487627,1487627,,,
91,2007,1099,Rosalind Franklin University of Medicine & Science,IL,2,10981,0.0,383971,0.0,0.0,15000.0,0.0,0.0,0.0,0,0.0,0.0,383971,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,250000,250000,0,0,0,0,,,
92,2007,1100,DePaul University,IL,2,3957,0.0,8942,9622.0,0.0,0.0,0.0,2200.0,2633.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,16380000,25380000,,,
93,2007,1101,Illinois Institute of Technology,IL,2,22646,0.0,8548,2993.0,57560.0,0.0,1450.0,0.0,18078.0,2642,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
94,2007,1102,Illinois State University,IL,1,4874,105236.0,121645,0.0,0.0,3200.0,2913.0,0.0,1268.0,2391,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
95,2007,1103,Chicago State University,IL,1,2119,1500.0,3300,3675.0,0.0,0.0,0.0,4227.0,1600.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
96,2007,1104,Loyola University Chicago,IL,2,37669,6421.0,104161,21.0,0.0,26633.0,184.0,0.0,32584.0,13590,1929.0,30599.0,97889,0,802563,0,0,0,0,0,0,0,0,0,323160,0,0,802563,802563,0,0,0,0,,,
97,2007,1105,Northern Illinois University,IL,1,16627,0.0,42028,9366.0,46460.0,0.0,13220.0,24418.0,57503.0,39169,47594.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
98,2007,1106,Northwestern University,IL,2,419985,0.0,204553,0.0,167070.0,197094.0,3530.0,1852.0,127597.0,10842,2210.0,0.0,286959,0,12505456,0,1200000,32811706,0,350000,2489385,1550137,0,0,45317162,0,8000000,42906684,50906684,1857227,0,66122773,67980000,,,
99,2007,1107,Southern Illinois University Carbondale,IL,1,74520,129191.0,69502,102.0,39408.0,42024.0,89.0,6458.0,28926.0,10432,4418.0,4536.0,38229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
100,2007,1108,Southern Illinois University Edwardsville,IL,1,23737,0.0,26845,0.0,0.0,4000.0,0.0,0.0,1000.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
