,YEAR,INST_ID,INST_NAME,INST_STATE,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_NR,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_CLIN_TRIAL,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_NR,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_STA,NC_INST,NC_TFUND,EXP_TOT
22,2017,1024,California State University-San Bernardino,CA,0,8541,2166,0,10416,958,0,1205,10416,12577,14246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9725
23,2017,1025,California Polytechnic State University-San Luis Obispo,CA,33531,37422,16315,68222,9515,5200,0,13500,23748,663,1663,1050,16712,0,0,0,0,0,0,0,0,0,550000,494417,0,0,0,0,494417,550000,1044417,0,0,0,17559
24,2017,1026,California State Polytechnic University-Pomona,CA,2169,4526,0,2326,0,0,0,4,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5254
25,2017,1027,California State University-Chico,CA,425,10169,588,2918,945,500,1200,1337,3764,706,5034,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
26,2017,1028,California State University-Fresno,CA,55630,15100,105,5126,5574,0,0,1933,8252,5827,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021400,8021400,7431
27,2017,1029,Humboldt State University,CA,22674,29295,571,7743,4518,2135,5827,7519,6414,4315,5004,0,3377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16084
28,2017,1030,San Diego State University,CA,0,75630,4808,32162,54325,5437,5285,36625,27303,49768,7168,1000,3000,0,0,0,0,6060000,0,0,0,0,0,0,0,0,0,0,4736000,1324000,6060000,0,18231403,18231403,74504
29,2017,1031,California State University-Northridge,CA,0,28755,1778,29024,16694,0,0,7631,23105,8453,3069,0,0,0,0,0,0,0,0,0,0,831817,672009,0,0,0,0,0,0,1503826,1503826,0,0,0,12471
30,2017,1032,San Jose State University,CA,12690,30120,3730,37999,12321,5039,912,8579,28580,3570,2158,0,0,0,286433,300000,0,300000,0,0,0,300000,290000,0,0,0,0,0,0,1476433,1476433,0,0,0,38326
31,2017,1033,Claremont Graduate University,CA,0,0,430,0,8574,332,0,0,0,4080,7608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10293
32,2017,1034,Harvey Mudd College,CA,0,8291,10021,15586,0,3398,0,0,18252,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4302
33,2017,1035,Pomona College,CA,0,59583,10117,0,0,5751,1588,20233,44931,30350,47200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3447
34,2017,1036,Loma Linda University,CA,0,58858,0,4625,25802,0,0,470,0,0,0,7062,0,81927,0,1357800,0,0,1308481,0,0,0,0,0,0,0,1357800,0,0,2666281,2666281,0,0,0,22956
35,2017,1037,Occidental College,CA,0,48000,0,0,1314,9645,0,21000,48300,2238,32682,0,0,0,0,0,0,0,0,0,0,0,6257564,0,0,0,0,0,6257564,0,6257564,0,0,0,1907
36,2017,1038,Stanford University,CA,0,450015,25854,283698,498842,6785,0,52900,264830,22262,21379,9079,13354,845306,0,5373000,777000,23057000,5373000,0,0,350000,8893000,0,0,0,10099000,0,0,43823000,43823000,0,407686000,407686000,1012351
37,2017,1039,University of California-Berkeley,CA,0,665975,19192,586703,111835,36632,190887,72860,382179,50399,257674,0,109319,0,0,14300000,0,3700000,2400000,0,4000000,750000,9800000,0,500000,0,0,250000,7000000,28200000,35450000,27500000,27500000,55000000,734486
