,YEAR,INST_ID,INST_NAME,INST_STATE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_NR,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_CLIN_TRIAL,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_NR,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND
127,2019,1154,Amherst College,MA,3546,0,29000,2730,0,0,2140,4400,4400,27000,4220,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2019,1155,Boston College,MA,42801,0,42897,210,0,3211,572,0,17921,56370,18571,27276,0,0,0,0,288226,0,0,0,0,0,541040,1007336,0,0,0,0,0,0,1836602,1836602,0,0,0,0
129,2019,1156,Boston University,MA,435864,0,524450,6816,169528,197756,2482,0,17245,99350,16830,20093,1460,0,328497,0,14770745,0,8957930,3399000,0,0,0,1178440,0,0,0,4210000,0,0,28306115,28306115,0,0,0,0
130,2019,1157,Brandeis University,MA,56750,0,116515,6166,0,0,6107,0,0,55520,13864,56032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2019,1158,Clark University,MA,7650,0,17000,0,0,0,2000,0,0,16000,9000,10000,0,0,0,0,0,0,0,0,0,0,0,803000,0,0,0,0,0,0,803000,803000,0,0,0,0
132,2019,1159,Harvard University,MA,1066612,31686,1172951,24902,126672,64734,65842,0,98432,399344,60427,295667,0,75678,473682,958419,174243092,0,3722799,4618969,4704890,0,4830088,20162216,948600,16209338,0,136400000,0,2500000,227898411,230398411,0,0,0,0
133,2019,1160,University of Massachusetts Lowell,MA,65060,0,8909,11848,151787,31643,0,0,9030,93735,2994,4336,0,0,0,0,1700250,3100000,12975000,1300000,0,0,1200000,5790000,0,0,0,0,0,11700000,14365250,26065250,0,0,0,0
134,2019,1162,Massachusetts Institute of Technology,MA,893508,0,263000,115700,657600,0,9700,0,50500,510300,0,33600,0,190900,0,0,750000,875000,35200000,0,0,0,0,12500000,0,1400000,9400000,0,0,0,60125000,60125000,0,0,0,0
135,2019,1163,Mount Holyoke College,MA,2601,0,11423,1653,0,0,1030,400,4780,12699,11237,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2019,1164,Northeastern University,MA,156546,0,28783,27216,138200,64425,2233,0,15855,73440,24329,9230,988,10963,0,0,5891882,6306079,20278554,1141311,0,0,639398,4076994,473525,0,5843942,0,0,0,44651685,44651685,0,0,36000000,36000000
137,2019,1165,Smith College,MA,5360,0,38288,4208,7031,0,2650,1230,7434,16219,11163,2723,0,3643,0,0,430608,0,0,0,0,0,0,0,3875468,0,0,0,0,0,4306076,4306076,0,0,0,0
138,2019,1166,University of Massachusetts Dartmouth,MA,24536,0,11092,2460,25587,566,2115,0,21205,17932,3100,3547,0,3209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
