,YEAR,INST_ID,INST_NAME,INST_STATE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND
233,2007,1265,University of North Carolina at Charlotte,NC,18463,0,30840,13443,62819,780,0,7873,42880,9613,15399,0,0,0,0,0,0,0,0,595174,0,0,0,0,0,0,0,595174,595174,0,9749099,0,9749099
234,2007,1266,University of North Carolina at Greensboro,NC,6059,0,34906,1689,0,5570,1189,826,17790,18560,24224,7114,0,0,0,3875000,0,0,3875000,0,3875000,0,0,0,0,0,11625000,0,11625000,0,0,0,0
235,2007,1267,Wake Forest University,NC,183129,0,898575,0,7513,188947,0,0,0,10528,8961,49636,831067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,2007,1268,University of North Carolina at Wilmington,NC,13609,1400,40000,1000,0,3000,0,3000,14000,5300,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2007,1269,Winston-Salem State University,NC,1864,0,60000,0,0,1600,0,0,0,1800,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2007,1270,Case Western Reserve University,OH,369264,0,201796,0,193784,237551,1141,5568,59445,8677,7529,295,397353,0,753254,0,3649794,19027302,0,0,0,0,0,0,19780556,300000,250000,22880350,23430350,0,0,0,0
239,2007,1272,Cleveland State University,OH,14496,0,30134,8156,32368,8633,3466,3164,37764,10257,6045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2007,1273,University of Dayton,OH,69080,0,3913,132,169870,0,144,153,2187,59,0,74,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,1000000,0,0,1105000,1105000
241,2007,1274,University of Toledo,OH,30493,30524,114946,0,104198,113071,3933,13176,52843,16324,10817,0,151435,0,6787510,0,3810500,0,0,0,0,0,0,0,6787510,0,8098010,2500000,10598010,0,0,0,0
242,2007,1276,Youngstown State University,OH,1308,0,19276,3429,16454,4174,4253,2626,33258,5547,8078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,2007,1277,Langston University,OK,4416,62000,25000,1000,0,0,500,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,2007,1278,University of Tulsa,OK,12358,0,19750,10000,65700,1800,1500,5400,7000,9000,7000,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,250000,250000,0,0,0,0
245,2007,1279,Oregon State University,OR,189606,520318,143800,29932,81438,320,1791,43588,94191,431,5392,0,0,0,0,0,8000000,0,0,0,0,0,0,0,0,0,4000000,4000000,8000000,0,0,0,0
246,2007,1280,Portland State University,OR,28763,0,29171,1744,28791,0,85,21492,44812,5343,11854,3091,0,0,0,0,0,0,0,0,925361,0,0,0,0,0,0,925361,925361,0,0,1200000,1200000
247,2007,1281,Reed College,OR,1118,0,17772,0,0,0,0,0,19297,6940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2007,1282,University of Oregon,OR,57153,0,136133,7529,8996,13261,903,18710,88678,32125,22493,0,0,0,977600,0,0,0,0,0,1155149,0,0,0,0,0,115000,2017749,2132749,0,10150000,1698719,11848719
249,2007,1284,Bryn Mawr College,PA,4254,0,10500,1250,0,0,1932,7035,11350,5180,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2007,1286,Carnegie Mellon University,PA,212506,0,67353,258181,184210,0,9944,0,62542,21269,6175,0,0,0,1901896,4467092,10250268,0,0,0,3577486,0,0,0,0,0,0,20196742,20196742,0,3000000,46854397,49854397
251,2007,1289,Duquesne University,PA,8345,0,75500,5000,0,128000,5000,0,96500,15000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2007,1293,Lafayette College,PA,1612,0,13103,3310,28110,0,2310,5549,3507,14647,16688,6801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
